"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RVRFZ8DS","conferencePaper","2025","Tauseef, Md.; Viji, Lena Sosa; Fenwick, Janice","Deepfaceguard: A Lightweight CNN Framework for Robust Face Manipulation Detection","2025 Third International Conference on Networks, Multimedia and Information Technology (NMITCON)","","","10.1109/NMITCON65824.2025.11188219","","The rapid proliferation of deep-fake technology threatens the credibility of digital media, with face-swap deep fakes posing significant detection challenges due to their high visual fidelity. This paper presents Deep Faceguard, a lightweight CNN-based deepfake detection framework optimized for high accuracy, cross-dataset generalization, and real-time edge deployment. Unlike prior models limited to single-dataset performance, Deep Faceguard integrates transfer learning with Efficient Net and XceptionNet backbones, combined with OpenCV-based facial region alignment to enhance artifact localization. The system effectively detects subtle manipulation artifacts such as illumination inconsistencies, blending anomalies, and edge discontinuities. Trained on FaceForensics ++ and DFDC, it achieves 96.5 % accuracy, 95.8 % precision, 97.2 % recall, and a ROC AUC of 0.982, while cross-dataset testing yields 88.2 % accuracy, indicating robustness to domain shift. Optimized via TensorFlow Lite, Deep Faceguard sustains 45 FPS real-time inference and reduces the model size by 40 % without accuracy loss, making it suitable for scalable and deployment-ready deepfake detection applications.","2025-08","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; Convolutional Neural Net works (CNNs); Convolutional neural networks; cross-dataset generalization; Deepfake detection; Deepfakes; digital media forensics; edge deployment; face-swap manipulation; Image edge detection; Media; real-time infer ence; Real-time systems; Robustness; TensorFlow Lite; Testing; Transfer learning; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QUT7FZY","conferencePaper","2025","Panja, Anoushka; Chakravorty, Debamalya; Das, Arijit; Saha, Diganta","Multimodal Framework for Deep Fake Detection and Content Moderation Using CNN, ViT, and Audio-Visual Analysis","2025 International Conference on Computing, Intelligence, and Application (CIACON)","","","10.1109/CIACON65473.2025.11189412","","This paper presents a multimodal framework for deepfake detection and content moderation, integrating audio, video, and text analysis to improve detection accuracy and robustness. The framework consists of seven key components: audio extraction, deepfake detection using CNN, audiovisual deepfake detection, metadata and caption extraction, advanced feature extraction using CNN and ViT, text-to-speech transcription in Bengali, and hate speech detection from images. Audio and video features extracted using CNN and ViT are combined to compute a probabilistic score for deepfake detection, while OCR and NLP models analyze transcribed text for hate speech. The system is designed for real-time multimedia analysis, making it suitable for social media content moderation, forensic investigations, and misinformation detection. Experimental evaluations on benchmark datasets such as Celeb-Df, and DFDC demonstrate high detection accuracy, outperforming traditional single-modal approaches. The framework is optimized for scalability and efficiency, enabling large-scale multimedia analysis with minimal latency. By integrating advanced video processing, speech analysis, and text recognition, this work contributes to multimodal AI research, offering a comprehensive and scalable solution for detecting manipulated media and ensuring digital content integrity in real-world applications.","2025-07","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-5","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; Bengali speech-to-text; CNN; Content moderation; Deep fake detection; Deepfakes; Feature extraction; Multimedia systems; Multimodal analysis; OCR; Optical character recognition; Robustness; Speech to text; Streaming media; Text recognition; Transformers; Vision Transformers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VU2D6EI","conferencePaper","2025","Vardhini, Kondra Megha Nandi; Parthipan, V","Deep Guard: A Multi-Modal Ensemble Deep Learning Framework for Real-Time Deepfake Detection and Proactive Content Authentication","2025 4th International Conference on Applied Artificial Intelligence and Computing (ICAAIC)","","","10.1109/ICAAIC64647.2025.11330928","","The availability of high-tech deepfake tools creates new challenges to the integrity of digital content, and it is necessary to establish a detection and mitigation framework capable of handling more sophisticated technology. This research proposes a multi-level architecture of deepfake detection and mitigation that incorporates the most current Machine Learning (ML) models with the new forensic methods. The proposed approach plans a four-stage detection pipeline: preprocessing and feature extraction with MobileNetV3 and EfficientNet-B4 to analyze spatial information, a fusion-based classifier using ensemble classification combining XceptionNet, ResNet-50, and vision transformers, and mitigation by completing an adversarial training using GANs. The preprocessing step uses noise reduction and state-of-the-art algorithms of face alignment to normalize the input data. Feature extraction is a hybrid application that employs both computer vision methods and Deep Learning (DL) that extract low-level artifact features and high-level semantic features. The proposed DeepGuard employs the strategy of a weighted ensemble, which uses the results of several hyper-specific models to reach a higher precision level. Moreover, the mitigation phase uses preventative-like watermarking with strong steganographic practices and reactive-like filtering of content-based tracking. Experimental validations on Celeb-DF datasets have shown that it compares to the performance of other existing methods in that the proposed method achieves a detection accuracy of 98.8% with minimized false positives.","2025-12","2026-03-17 12:27:20","2026-03-17 12:27:20","","353-359","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; Computer vision; Deep learning; Deepfake Detection; Deepfakes; Ensemble Learning; Feature extraction; Pipelines; Prevention and mitigation; Real-Time Analysis; Real-time systems; Transformers; Watermarking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I6UPC2BT","conferencePaper","2025","Ali, Aashna; M, Ankitha; Vanamala, H R","Dual-Filter Based Deepfake Detection Using CNN and Vision Transformer","2025 8th International Conference on Signal Processing and Information Security (ICSPIS)","","","10.1109/ICSPIS67605.2025.11318378","","This study introduces a novel deepfake detection framework that leverages Laplacian and Hessian image filters as a dual-channel input, shifting the focus from raw RGB pixels to structural and texture-level inconsistencies often hidden to the human eye. By emphasizing edges and fine-grained anomalies, the approach enhances the interpretability of learned features while reducing reliance on superficial color patterns. Two architectures are explored: a custom Convolutional Neural Network (CNN), which captures localized edge irregularities, and a Vision Transformer (ViT), adapted to process filtered dual-channel representations through its attention-driven mechanism. Both models were trained and tested under identical conditions, ensuring a fair evaluation. The CNN achieved a strong accuracy of approximately 77%, though it struggled in cases of subtle manipulations, while the ViT delivered superior performance with nearly 80% accuracy, showing greater resilience against ambiguous forgeries. By combining explainable filter-based preprocessing with advanced transformer-based learning, this study offers a pathway toward detection methods that remain robust even as manipulation techniques continue to evolve.","2025-11","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; Computer vision; convolutional neural networks; Convolutional neural networks; Deepfake detection; Deepfakes; dual-channel input; Filters; Hessian filter; Image Forensics; Laplace equations; Laplacian filter; Three-dimensional displays; Topology; Transformers; Video sequences; vision transformer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMVNNMUA","conferencePaper","2025","Anitha, G.; V, Aakash Saran; Loganathan, Nadish; R K, Arul Saravanan","A Robust Deepfake Detection Framework Using AV-CATNet for Audio-Visual Consistency and Temporal Attention in Secure Social Media Authentication","2025 5th International Conference on Emerging Research in Electronics, Computer Science and Technology (ICERECT)","","","10.1109/ICERECT65215.2025.11378357","","The swift evolution of deepfakes with significant implications on the credibility of multimedia content in social media provides us with a stern challenge. Current detection strategies are typically inadequate in modeling cross-modal inconsistency and temporal information. To this end, we introduce AV-CATNet (Audio-Visual Cross-Attentional Transformer Network), which is an innovative deepfake detection system that utilizes cross-modal attention to synchronize lip movement with audio and temporal self-attention to detect sequence anomalies. AV-CATNet proposes the Fake Consistency Score (FCS), a transparent metric measuring the synchronization of audio and visual streams throughout history, making the model more transparent. In contrast to existing CNN, RNN, or late-fusion AV models, AV-CATNet reaches up to 97% accuracy on standard datasets such as DFDC, FakeAVCeleb, and FaceForensics++. It has an end-to-end attention-based fusion mechanism without the requirement for handcrafted features or post-processing. Designed to be optimized for real-time execution and edge deployment, AV-CATNet is a robust and scalable platform for content authentication, multimedia forensics, and deepfake defense in high-throughput social media scenarios.","2025-09","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; audio-visual consistency; Authentication; AV-CATNet; Benchmark testing; content authentication; cross-modal learning; Deepfake detection; Deepfakes; fake consistency score(FCS); Forensics; multimedia forensics; real-time detection; Real-time systems; social media safety; Social networking (online); Synchronization; temporal attention; transformer networks; Transformers; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZV7UBGX","conferencePaper","2025","Lakhchaura, Rahul; Madan, Parul; Vishnoi, Ankit","A Review of Deepfake Technology: Advancements in Detection and Generation Methods, Datasets and Tools","2025 IEEE 7th International Conference on Computing, Communication and Automation (ICCCA)","","","10.1109/ICCCA66364.2025.11325599","","Deep learning caters to several sophisticated issues, which are analytics data and computer vision. It is also used for malware development that destroys security and confidentiality. Most of the surveys now in use are designed toward identifying deepfake content but the creation process is not well covered. Creating a DeepFake video is achieved using deep learning where a person in the actual video is replaced with another. DeepFakes can be identified through some of the deep learning-based techniques proposed in the literature. This paper expands on thorough explorations into DeepFake video detection and generation methods from 2023 - 2025 and explores their with a comparative analysis.","2025-11","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-5","","","","","","","","","","","","","","","","","","","","","","","","Anomaly detection; Deep learning; Deep Learning; Deepfake; Deepfake Dataset; Deepfake image/video detection; Deepfake image/video generation; Deepfakes; Malware; Media; Production; Real-time systems; Reviews; Security; Surveys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W4CDIARZ","conferencePaper","2025","Jyani, Mayank; Rathore, Pramod Singh","Spectrogram-Based CNN Framework for Live Deepfake Voice Detection in Google Meet","2025 International Conference on Computing Technologies & Data Communication (ICCTDC)","","","10.1109/ICCTDC64446.2025.11158792","","The rapidly growing development of AI-generated voice synthesis is increasing the threat of deepfake audio on real-time communication platforms. Traditional deepfake detection systems, which are mostly based on post-processed data techniques such as MFCC and SVM-fall behind the sophistication of modern synthetic voices, resulting in high false positive rates and limited applicability. This research has proposed a new, real-time deep-fake voice detection framework that integrates with Google Meet via a Chrome Extension. The system uses spectrogram-based feature extraction and a deep Convolutional Neural Network (CNN) to process live audio streams in real-time via the FastAPI and WebSocket protocols, providing instant detection and alerts. Comparative analysis shows that this model is more accurate than traditional models and also reduces false positives, with a classification performance AUC score reaching 0.90. In addition, the study plans a future extension that will include facial deepfake detection, which could make online meetings even more secure. This work is a significant contribution to the field of AI ethics and cybersecurity, as it offers a scalable, deployable, and effective solution that could be useful against real-time audio-based impersonation threats.","2025-07","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-5","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; Analytical models; CNN; Convolutional neural networks; Deepfake; Deepfakes; Internet; Mel frequency cepstral coefficient; MFCC; Protocols; Real-time systems; SVM; Training; X-ray imaging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YGZYNHS4","conferencePaper","2025","Kavitha, M.; Raushan, Ritik; Priya; Kumar, Rahul","DEFENDAI: Enhancing Deepfake Detection with Hybrid Architectures using EfficientNet, XceptionNet, Vision Transform and LSTM","2025 3rd International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS)","","","10.1109/ICSSAS66150.2025.11081343","","The rapid evolution of deepfake technologies presents a significant threat to digital authenticity and societal trust. This research introduces DEFENDAI, a hybrid deepfake detection system integrating EfficientNet, XceptionNet, Vision Transformers (ViT), and Long Short-Term Memory (LSTM) networks to harness both spatial and temporal features. Trained on a curated subset of the DFDC dataset, the system uses a multi-stage pipeline involving frame extraction, resizing, normalization, and augmentation for preprocessing. Feature extraction is performed using CNNs and ViTs, while LSTM captures sequential dependencies across frames. A web-based implementation using FastAPI and Streamlit enables real-time user interaction and deployment. Comparative results show the hybrid model significantly outperforms standalone models in precision, recall, and generalization. Future work aims at extending datasets, integrating adversarial robustness, and refining real-time detection pipelines for broader applicability.","2025-06","2026-03-17 12:27:20","2026-03-17 12:27:20","","952-958","","","","","","","","","","","","","","","","","","","","","","","","AI Security; Artificial intelligence; Computer vision; Deepfake Detection; Deepfakes; DFDC; EfficientNet; FastAPI; Feature extraction; Long short term memory; LSTM; Pipelines; Real-time systems; Streamlit; Training; Transformers; Transforms; Vision Transformers; XceptionNet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKJTFSGG","conferencePaper","2025","Yuan, Xiao; Yang, Lan; Zhang, Honggang","Generalized Deepfake Detection for Video Communication","2025 International Conference on Visual Communications and Image Processing (VCIP)","","","10.1109/VCIP67698.2025.11396908","","With the rapid advancement of video communication technologies, deepfake techniques have posed severe challenges to content authenticity and system trustworthiness. To address the limitations of existing detection methods in terms of generalization and accuracy, this paper proposes a deepfake detection method based on an optimized XceptionNet architecture. By refining the network structure and building dataset, the proposed model achieves over 95% accuracy across datasets involving multiple forgery techniques, with an inference speed of up to 409 frames per second. Furthermore, fairness and consistency evaluations demonstrate that the proposed method maintains stable performance and coherent video-level decisions across diverse forgery types, and outperforms three representative generalization-focused baselines, highlighting its superior generalization and applicability in real-world communication scenarios.","2025-12","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-5","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; deepfake detection; Deepfakes; fairness; Forgery; generalization; Low latency communication; Optimization; Real-time systems; Refining; Stability analysis; Training; video communication; Visual communication; XceptionNet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GC9QNNKG","conferencePaper","2025","Li, Xiang; Ma, Zeyu; Zhang, Zhizhong; Chen, Mingang","Multimodal DeepFake Detection via Audio-Visual Feature Fusion and Temporal Attention","2025 6th International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)","","","10.1109/ICBAIE66852.2025.11326621","","With the rapid development of AI-generated content, DeepFake videos have become increasingly realistic, posing significant challenges to the authenticity of information dissemination and the security of personal identity. As a result, detecting DeepFake videos has emerged as a critical task in the field of digital media forensics. Despite extensive research efforts, existing methods still face two major limitations: (i) insufficient capacity in modeling long-range temporal dependencies, which hinders the detection of complex dynamic inconsistencies; and (ii) reliance on a single modality, making it difficult to fully exploit the complementary information between audio and visual streams. To address these issues, we propose a novel multimodal DeepFake detection framework that jointly leverages audio and visual information for video detection. Specifically, we employ a visual Transformer with temporal self-attention to model dynamic inconsistencies across sampled video frames, and adopt an audio encoder to extract discriminative features from Mel-spectrogram representations. The extracted visual and audio features are then globally aggregated and fused through a lightweight classification head. Extensive experiments demonstrate that our approach effectively captures cross-modal forgery cues and achieves strong generalization capability across diverse and challenging Deep-Fake scenarios.","2025-10","2026-03-17 12:27:20","2026-03-17 12:27:20","","390-393","","","","","","","","","","","","","","","","","","","","","","","","Audio-visual fusion; DeepFake detection; DeepFake video; Deepfakes; Feature extraction; Forgery; Generative AI; Internet of Things; Learning (artificial intelligence); Media; Multimodal learning; Security; Transformers; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5K3XA9G9","conferencePaper","2025","Abdul Ameer, Noor Hayder; Al-Taee, Mustafa; Hussain, Abadal Salam T.; Hussian, Ahmed; Ali, Haider","The Impact of Data Augmentation on Deepfake Detection: A Comparative Study of CNN and Transformer Models","2025 IEEE 4th International Conference on Computing and Machine Intelligence (ICMI)","","","10.1109/ICMI65310.2025.11141228","","As AI becomes increasingly prevalent in our daily lives, the rise of deepfake technology presents a significant challenge for digital forensics and security, necessitating the development of robust detection models to help distinguish between real and fake media. In this work, We study the effect of data augmentation on deepfake classification performance using CNN-based and Transformer based networks. XceptionNet, ResNet-50, EfficientNet-B3, ViT-B/16, and ConvNeXt-Small are evaluated on the Deepfake Detection Challenge (DFDC) dataset and augmentation operations consist of rotating, color jitter, Gaussian noise and random erasing. The results also indicate that CNN-based models exceed the performance of Transformer-based architectures, as XceptionNet achieves an accuracy score of 94% and an F1-score of 0.94, while ViT-B/16 performs poorly, achieving an accuracy of 82%. These show that augmentation helps improve robustness for CNN models, while Transformer models show a less effective performance in this setup. The paper offered guidance on optimizing data preprocessing approaches for deepfake identification and proposed further investigation of hybrid CNN-Transformer architectures that could empower models to be more effective in detecting fake images.","2025-04","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; Computational modeling; Data augmentation; Data Augmentation; Data models; Deepfake Detection; Deepfake Detection Challenge (DFDC); Deepfakes; Hybrid CNNTransformer Models; Real-time systems; ResNet-50; Robustness; Security; Training; Transformers; Vision Transformers; XceptionNet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YSYTQRGZ","conferencePaper","2025","Shetty, Dhruv; Patil, Pranjal; Ambre, Purva; Shahane, Prachi","FauxFind: Deep Learning-Based Deepfake Detection System using Transfer Learning and CNN","2025 International Conference on Emerging Trends in Industry 4.0 Technologies (ICETI4T)","","","10.1109/ICETI4T63625.2025.11132179","","The recent breakthrough in deepfake technology has resulted in concerns for the authenticity of visual information present on the internet. In response to this grave problem, we propose a novel approach for deepfake image detection through the MesoNet algorithm. MesoNet is a type of CNN that has demonstrated its effectiveness in detecting faint manifestations of deepfake manipulations. In MesoNet, the mechanism of transfer learning is adopted to fine-tune a pre-trained model over a well-curated dataset consisting of real and deepfake images and thus learn very subtle patterns characteristic of artificial alterations. The performance of the proposed technique was rigorously tested on a range of datasets through extensive testing to show improved accuracy in identifying deepfake images with reduced false positives. In summary, the research findings indicate that the MesoNet algorithm could be used in detecting deepfake photos, serving as a powerful tool for preventing the spread of misinformation and preserving the integrity of visual content on digital platforms.","2025-06","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; Convolutional Neural Network (CNN); Convolutional neural networks; Deepfake Detection; Deepfakes; Feature extraction; Focusing; Fourth Industrial Revolution; Market research; MesoNet Algorithm; Testing; Transfer learning; Transfer Learning; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SVELD9J","conferencePaper","2025","Gaikawad, Manish; Ghosh, Soma","A Robust and Lightweight CNN-Transformer Model for Audio Deepfake Detection in Indian Languages","2025 7th International Conference on Signal Processing, Computing and Control (ISPCC)","","","10.1109/ISPCC66872.2025.11039572","","The proliferation of audio deepfake technology poses significant threats to digital security, particularly in multilingual contexts such as India, where diverse languages are widely used. This paper presents a robust and lightweight CNN-Transformer hybrid model designed for audio deepfake detection in major Indian languages, including Marathi, Hindi, Tamil, Telugu, Malayalam, and Kannada. The proposed model addresses two critical challenges in deepfake detection: domain generalization and computational efficiency. By integrating multiple feature types—Mel spectrograms, LFCC, and Wav2Vec—and leveraging Convolutional Neural Networks (CNNs) for spatial feature extraction, Transformer layers with multi-scale attention for temporal dependencies, and a spectral-temporal gating mechanism for feature fusion, the model achieves superior performance across diverse audio environments, including low-quality and noisy data. Additionally, the model is optimized for edge devices using pretraining, quantization, knowledge distillation, and pruning, ensuring real-time performance with minimal accuracy loss. Evaluated on a novel dataset of nearly 10,000 samples per language, alongside ASVspoof 2021 and in-the-wild datasets, the model achieves a test accuracy of 98.07% (validation accuracy of 98.62%) with precision and recall scores of 0.98 and 0.98 on the test set, respectively. The study also analyzes trade-offs between model size, inference speed, and detection accuracy, offering insights into practical deployment. This work advances audio forensics by providing a scalable, efficient, and language-agnostic solution to counter audio deepfakes in resource-constrained settings.","2025-03","2026-03-17 12:27:20","2026-03-17 12:27:20","","382-387","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; Audio Deepfake Detection; CNN-Transformer Hybrid Model; Computational modeling; Deepfakes; Domain Generalization; Edge Device Optimization; Feature extraction; Indian Languages; Multilingual; Multilingual Datasets; Performance evaluation; Quantization (signal); Real-time systems; Security; Transformers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MARILIP","conferencePaper","2025","M, Bhavya; M S, Nithesh Kumar; Singh, Abhinav; Verma, Saurabh; Shetti, Tejas M; B S, Sudarsh","Attention-Guided Hybrid Deepfake Detection Model Using VGG-19, Optical Flow, and Face Embeddings","2025 IEEE International Conference for Women in Innovation, Technology & Entrepreneurship (ICWITE)","","","10.1109/ICWITE64848.2025.11407434","","The authenticity of deepfake content makes verification of authentic media extremely difficult because trust in information has completely vanished. A deepfake detection method combines style and content features through attention enhancement according to this study. Style features based on VGG-19 network and Gram matrices analyze face texture faults while FaceNet generates content features through optical flow and face embeddings. The MLP system uses attention modules to process tampered regions following a combination step of features. Research tests utilize FaceForensics++ DFS as well as DFDC and Celeb-DF benchmarks to establish high precision rates and generalization abilities. The real-time detection systems for deepfakes can use this method because it demonstrates both scalability for attack protection and automatic interpretation capabilities for detection purposes.","2025-09","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-5","","","","","","","","","","","","","","","","","","","","","","","","ArcFace; Attention Mechanism; Deepfake Detection; Deepfakes; FaceNet; Faces; Feature extraction; Feature Fusion; Gram Matrix; Hybrid Deepfake Model; Media; Optical flow; Optical Flow; Real-time systems; Scalability; Semantics; Style-Content Analysis; Ultraviolet sources; VGG-19; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JSRDU3M","conferencePaper","2025","Hirpara, Priyanshu; Valangar, Hardi; Kachhadiya, Vishwa; Chauhan, Uttam","Deepfake Detection: Demodulate Synthetic Videos Using Deep Learning Models","2025 12th International Conference on Computing for Sustainable Global Development (INDIACom)","","","10.23919/INDIACom66777.2025.11115707","","A deepfake detection system that uses machine learning (ML) and deep learning (DL) models to detect manipulated videos and images is presented in the study. Being aware of such synthetic content is crucial considering the emergence of deepfake technology, which might alter photos, videos, and audio for malevolent objectives including fraud, extortion, and disinformation. Deepfake technology has been applied to solve various real-time problems but is also exploited for unethical and illegal purposes. As a result, developing research and detection models is crucial to prevent its misuse. We proposed a CNN-LSTM hybrid model for analysis of cropped images to improve the performance of fake video detection. The suggested method focuses on identifying fake videos using the Celeb-DF dataset, which consists of 1203 videos (795 fake, 408 real). Moreover, the benefits and drawbacks of the various deepfake detection techniques are examined. The paper indicates potential improvements in model accuracy through more datasets and improved architectures, and it emphasizes the significance of sophisticated detection techniques to mitigate the negative consequences of deepfakes. With cropped video frames and deep learning techniques, the model's accuracy increased from 79.06% with the original dataset to \mathbf8 6. 8 2 % with cropped videos.","2025-04","2026-03-17 12:27:20","2026-03-17 12:27:20","","01-06","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; Analytical models; Artificial Intelligence; CNN-LSTM; Computational modeling; Computer architecture; Deep learning; Deep Learning; Deepfake Detection; Deepfakes; Face Manipulation; Faces; Fraud; Real-time systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZ3KH2X8","conferencePaper","2025","Susmi, Nishat Tasnim; Chandra Chanda, Manob; Hosain, Md. Sarwar; Rifat Hossen, Md.; Hossain, Md. Anwar; Fazal Mohammad Zainul Abadin, Abul","Enhancing DeepFake Classification Performance Using a CNN and XceptionNet-Based Pipeline","2025 IEEE 2nd International Conference on Computing, Applications and Systems (COMPAS)","","","10.1109/COMPAS67506.2025.11381636","","Deepfake technology can create a video or image that looks real but in reality it is fake.It is a real threat to our society and our digital security. The popularity of generative models like generative adversarial networks (GANs) has made it easier to produce content that we can not differentiate between fake media and authentic media. To combat this, the study introduces a dual-model deepfake detection system that combines a custom lightweight convolutional neural network (CNN) with a transfer learning-based XceptionNet. This framework is trained and tested on the 140K Real and Fake Faces dataset, which contains an similar number of real and synthetic images. The custom CNN is built from scratch, featuring optimized convolutional layers, ReLU activations, max-pooling, and dense layers with dropout for regularization. The XceptionNet model is finetuned with additional dense layers for binary classification. Both models follow the same pre-processing steps and are trained with the Adam optimizer using binary cross-entropy loss. The CNN achieves an impressive 97% accuracy, while XceptionNet reaches 91%, highlighting their strong performance and ability to generalize. Metrics like precision, recall and F1-score verify the reliability of both methods. The research suggest that despite limited data and resources, deepfake detection is feasible by utilizing efficient architectures and training techniques. This framework gives a scalable and resource efficient solution for real world deepfake forensics, particularly in environments with limited computational capacity. Future work will investigate ensemble models and real-time detection implementations.","2025-10","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; CNN; Computational modeling; Computer architecture; Convolutional neural networks; deepfake detection; Deepfakes; Faces; image forgery; Measurement; Media; Real-time systems; transfer learning; Transfer learning; XceptionNet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ZHA4BJV","conferencePaper","2025","B, Sahana; B, Sadhana; G S, Sharvani; Agarwal, Harshit; Bansal, Priyansh","TruthLens: A Serverless Deepfake Detection Platform Leveraging MesoNet and AWS Cloud Services","2025 9th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS)","","","10.1109/CSITSS67709.2025.11294340","","Advancements in deepfake technology have escalated challenges in verifying digital media authenticity, posing risks to information integrity and public trust. This paper presents TruthLens, a scalable and efficient deepfake detection platform designed to identify manipulated visual content in real-time. The system leverages a lightweight CNN architecture, optimized for detecting subtle manipulation artifacts, and integrates it with a user-friendly web interface and serverless cloud infrastructure. The methodology involves curating a balanced dataset of real and fake images, applying data augmentation to intensify model robustness, and training the CNN to distinguish authentic from manipulated content. The platform employs a modular design, with a React-based frontend for seamless user interaction, a Flask API for real-time inference, and AWS services Lambda for computation, S3 for hosting, and DynamoDB for analytics to ensure scalability and cost-efficiency. Evaluation on diverse test set demonstrates the system's effectiveness in accurately classifying media, with low false positives to maintain user trust. Qualitative analysis confirms its ability to detect common deepfake artifacts, such as unnatural facial features. TruthLens advances digital forensics by offering a practical, accessible solution for media verification, with future enhancements planned for video support, explainable AI visualizations, and resilience against adversarial attacks. This work contributes to combating digital misinformation, supporting applications in journalism, content moderation, and digital security.","2025-11","2026-03-17 12:27:20","2026-03-17 12:27:20","","1-5","","","","","","","","","","","","","","","","","","","","","","","","AWS; Convolutional neural networks; Convolutional Neural Networks; Deepfake Detection; Deepfakes; Digital forensics; Digital Forensics; Media Verification; Real-time systems; Scalability; Security; Serverless computing; Serverless Computing; Service-oriented architecture; Training; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
